caller_entry,caller_name,callee_entry,callee_name
"0001dd3e","FUN_0001dd3e","0001fde4","FUN_0001fde4"
"0001dd3e","FUN_0001dd3e","0001fe91","FUN_0001fe91"
"0001df2d","FUN_0001df2d","00016050","operator.new[]"
"0001df2d","FUN_0001df2d","00016370","operator.delete"
"0001df2d","FUN_0001df2d","00016470","__cxa_throw_bad_array_new_length"
"0001df2d","FUN_0001df2d","00016550","operator.delete[]"
"0001df2d","FUN_0001df2d","000166e0","operator.new"
"0001df2d","FUN_0001df2d","00016710","~unique_ptr"
"0001df2d","FUN_0001df2d","00016820","_M_start_thread"
"0001df2d","FUN_0001df2d","00019a59","__i686.get_pc_thunk.ax"
"0001df2d","FUN_0001df2d","0001fc42","FUN_0001fc42"
"0001df2d","FUN_0001df2d","0001fc8e","FUN_0001fc8e"
"0001df2d","FUN_0001df2d","0001fcda","FUN_0001fcda"
"0001df2d","FUN_0001df2d","0001fe7b","FUN_0001fe7b"
"0001df2d","FUN_0001df2d","0001fe91","FUN_0001fe91"
"0001e20e","lock","000173d6","__i686.get_pc_thunk.bx"
"0001e23e","string<std::allocator<char>>","000173d6","__i686.get_pc_thunk.bx"
"0001e2d4","sleep_for<long_long,std::ratio<1ll,1ll>>","000173d6","__i686.get_pc_thunk.bx"
"0001e323","FUN_0001e323","000173d6","__i686.get_pc_thunk.bx"
"0001e3b7","FUN_0001e3b7","000173d6","__i686.get_pc_thunk.bx"
"0001e4a6","~unordered_map","000173d6","__i686.get_pc_thunk.bx"
"0001e514","FUN_0001e514","000173d6","__i686.get_pc_thunk.bx"
"0001e566","FUN_0001e566","000173d6","__i686.get_pc_thunk.bx"
"0001e604","FUN_0001e604","000173d6","__i686.get_pc_thunk.bx"
"0001e66d","FUN_0001e66d","0001e5ba","FUN_0001e5ba"
"0001e66d","FUN_0001e66d","0001f62f","__i686.get_pc_thunk.cx"
"0001e6ce","FUN_0001e6ce","0001e66d","FUN_0001e66d"
"0001e6e4","FUN_0001e6e4","000173d6","__i686.get_pc_thunk.bx"
"0001e764","FUN_0001e764","000173d6","__i686.get_pc_thunk.bx"
"0001e9cf","FUN_0001e9cf","00016400","_M_rehash"
