address,name,namespace,type,source,external,primary
"00019fac","~_Result","std::__future_base::_Result<void>","Function","ANALYSIS",false,true
"00019fdc","_M_run","std::thread::_State_impl<std::thread::_Invoker<std::tuple<void(*)()>>>","Function","ANALYSIS",false,true
"00019fdc","_ZNSt6thread11_State_implINS_8_InvokerISt5tupleIJPFvvEEEEEE6_M_runEv","Global","Label","IMPORTED",false,false
"00019fe8","_M_run","std::thread::_State_impl<std::thread::_Invoker<std::tuple<void(std::__future_base::_Async_state_impl<std::thread::_Invoker<std::tuple<BufferHandles::Process()::{lambda()#2}>>,void>::*)(),std::__future_base::_Async_state_impl<std::thread::_Invoker<std::tuple<BufferHandles::Process()::{lambda()#2}>>,void>*>>>","Function","ANALYSIS",false,true
"00019fe8","_ZNSt6thread11_State_implINS_8_InvokerISt5tupleIJMNSt13__future_base17_Async_state_implINS1_IS2_IJZN13BufferHandles7ProcessEvEUlvE0_EEEEvEEFvvEPS9_EEEEE6_M_runEv","Global","Label","IMPORTED",false,false
"0001a001","LAB_0001a001","Global","Label","DEFAULT",false,true
"0001a007","_M_manager","std::_Function_handler<std::unique_ptr<std::__future_base::_Result_base,std::__future_base::_Result_base::_Deleter>(),std::__future_base::_Task_setter<std::unique_ptr<std::__future_base::_Result<void>,std::__future_base::_Result_base::_Deleter>,std::thread::_Invoker<std::tuple<BufferHandles::Process()::{lambda()#2}>>,void>>","Function","ANALYSIS",false,true
"0001a007","_ZNSt17_Function_handlerIFSt10unique_ptrINSt13__future_base12_Result_baseENS2_8_DeleterEEvENS1_12_Task_setterIS0_INS1_7_ResultIvEES3_ENSt6thread8_InvokerISt5tupleIJZN13BufferHandles7ProcessEvEUlvE0_EEEEvEEE10_M_managerERSt9_Any_dataRKSJ_St18_Manager_operation","Global","Label","IMPORTED",false,false
"0001a04a","_FUN","std::once_flag::_Prepare_execution::_Prepare_execution<std::call_once<void(std::thread::*)(),std::thread*>(std::once_flag&,void(std::thread::*&&)(),std::thread*&&)::{lambda()#1}()#1}>(void(std::thread::*&)())::{lambda()#1}","Function","ANALYSIS",false,true
"0001a04a","_ZZNSt9once_flag18_Prepare_executionC4IZSt9call_onceIMSt6threadFvvEJPS3_EEvRS_OT_DpOT0_EUlvE_EERS8_ENUlvE_4_FUNEv","Global","Label","IMPORTED",false,false
"0001a08c","_FUN","std::once_flag::_Prepare_execution::_Prepare_execution<std::call_once<void(std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base,std::__future_base::_Result_base::_Deleter>()>*,bool*),std::__future_base::_State_baseV2*,std::function<std::unique_ptr<std::__future_base::_Result_base,std::__future_base::_Result_base::_Deleter>()>*,bool*>(std::once_flag&,void(std::__future_base::_State_baseV2::*&&)(std::function<std::unique_ptr<std::__future_base::_Result_base,std::__future_base::_Result_base::_Deleter>()>*,bool*),std::__future_base::_State_baseV2*&&,std::function<std::unique_ptr<std::__future_base::_Result_base,std::__future_base::_Result_base::_Deleter>()>*&&,bool*&&)::{lambda()#1}()#1}>(void(std::__future_base::_State_baseV2::*&)(std::function<std::unique_ptr<std::__future_base::_Result_base,std::__future_base::_Result_base::_Deleter>()>*,bool*))::{lambda()#1}","Function","ANALYSIS",false,true
"0001a08c","_ZZNSt9once_flag18_Prepare_executionC4IZSt9call_onceIMNSt13__future_base13_State_baseV2EFvPSt8functionIFSt10unique_ptrINS3_12_Result_baseENS7_8_DeleterEEvEEPbEJPS4_SC_SD_EEvRS_OT_DpOT0_EUlvE_EERSI_ENUlvE_4_FUNEv","Global","Label","IMPORTED",false,false
"0001a0e0","_M_destroy","std::_Sp_counted_ptr_inplace<std::__future_base::_Deferred_state<std::thread::_Invoker<std::tuple<BufferHandles::Process()::{lambda()#2}>>,void>,std::allocator<void>,(__gnu_cxx::_Lock_policy)2>","Function","ANALYSIS",false,true
"0001a0e0","_ZNSt23_Sp_counted_ptr_inplaceINSt13__future_base15_Deferred_stateINSt6thread8_InvokerISt5tupleIJZN13BufferHandles7ProcessEvEUlvE0_EEEEvEESaIvELN9__gnu_cxx12_Lock_policyE2EE10_M_destroyEv","Global","Label","IMPORTED",false,false
"0001a104","_M_destroy","std::_Sp_counted_ptr_inplace<std::__future_base::_Async_state_impl<std::thread::_Invoker<std::tuple<BufferHandles::Process()::{lambda()#2}>>,void>,std::allocator<void>,(__gnu_cxx::_Lock_policy)2>","Function","ANALYSIS",false,true
"0001a104","_ZNSt23_Sp_counted_ptr_inplaceINSt13__future_base17_Async_state_implINSt6thread8_InvokerISt5tupleIJZN13BufferHandles7ProcessEvEUlvE0_EEEEvEESaIvELN9__gnu_cxx12_Lock_policyE2EE10_M_destroyEv","Global","Label","IMPORTED",false,false
"0001a128","_ZNKSt9type_infoeqERKS_","Global","Label","IMPORTED",false,false
"0001a128","operator==","std::type_info","Function","ANALYSIS",false,true
"0001a170","_M_get_deleter","std::_Sp_counted_ptr_inplace<std::__future_base::_Async_state_impl<std::thread::_Invoker<std::tuple<BufferHandles::Process()::{lambda()#2}>>,void>,std::allocator<void>,(__gnu_cxx::_Lock_policy)2>","Function","ANALYSIS",false,true
"0001a170","_ZNSt23_Sp_counted_ptr_inplaceINSt13__future_base17_Async_state_implINSt6thread8_InvokerISt5tupleIJZN13BufferHandles7ProcessEvEUlvE0_EEEEvEESaIvELN9__gnu_cxx12_Lock_policyE2EE14_M_get_deleterERKSt9type_info","Global","Label","IMPORTED",false,false
"0001a1b0","_M_get_deleter","std::_Sp_counted_ptr_inplace<std::__future_base::_Deferred_state<std::thread::_Invoker<std::tuple<BufferHandles::Process()::{lambda()#2}>>,void>,std::allocator<void>,(__gnu_cxx::_Lock_policy)2>","Function","ANALYSIS",false,true
"0001a1b0","_ZNSt23_Sp_counted_ptr_inplaceINSt13__future_base15_Deferred_stateINSt6thread8_InvokerISt5tupleIJZN13BufferHandles7ProcessEvEUlvE0_EEEEvEESaIvELN9__gnu_cxx12_Lock_policyE2EE14_M_get_deleterERKSt9type_info","Global","Label","IMPORTED",false,false
"0001a1f0","_ZNSt15__exception_ptr13exception_ptrD1Ev","Global","Label","IMPORTED",false,false
"0001a1f0","_ZNSt15__exception_ptr13exception_ptrD2Ev","Global","Label","IMPORTED",false,false
"0001a1f0","~exception_ptr","std::__exception_ptr::exception_ptr","Function","ANALYSIS",false,true
