address,length,value
"100506d6",15,"""GetProcAddress"""
"100506e8",22,"""FlushInstructionCache"""
"10050700",13,"""VirtualQuery"""
"10050710",17,"""TerminateProcess"""
"10050724",24,"""QueryPerformanceCounter"""
"1005073e",26,"""QueryPerformanceFrequency"""
"10050758",13,"""KERNEL32.dll"""
"10050768",13,"""GetCursorPos"""
"10050778",15,"""ScreenToClient"""
"1005078a",9,"""PtInRect"""
"10050794",11,"""USER32.dll"""
"100507a2",24,"""ReleaseSRWLockExclusive"""
"100507bc",24,"""AcquireSRWLockExclusive"""
"100507d6",27,"""TryAcquireSRWLockExclusive"""
"100507f4",26,"""SleepConditionVariableSRW"""
"10050810",19,"""GetCurrentThreadId"""
"10050826",15,"""FormatMessageA"""
"10050838",20,"""WideCharToMultiByte"""
"1005084e",15,"""RaiseException"""
"10050860",24,"""InitOnceBeginInitialize"""
"1005087a",17,"""InitOnceComplete"""
"1005088e",25,"""WakeAllConditionVariable"""
"100508aa",13,"""GetLastError"""
"100508ba",31,"""FreeLibraryWhenCallbackReturns"""
"100508dc",21,"""CreateThreadpoolWork"""
"100508f4",21,"""SubmitThreadpoolWork"""
"1005090c",20,"""CloseThreadpoolWork"""
"10050922",19,"""GetModuleHandleExW"""
"10050938",26,"""IsProcessorFeaturePresent"""
"10050954",12,"""CloseHandle"""
"10050962",22,"""WaitForSingleObjectEx"""
"1005097a",18,"""GetExitCodeThread"""
"1005098e",20,"""MultiByteToWideChar"""
"100509a4",15,"""GetStringTypeW"""
"100509b6",10,"""LocalFree"""
"100509c2",16,"""GetLocaleInfoEx"""
"100509d4",17,"""GetModuleHandleW"""
"100509e8",17,"""CreateDirectoryW"""
"100509fc",12,"""CreateFileW"""
"10050a0a",10,"""FindClose"""
"10050a16",15,"""FindFirstFileW"""
"10050a28",17,"""FindFirstFileExW"""
"10050a3c",14,"""FindNextFileW"""
"10050a4c",21,"""GetFileAttributesExW"""
"10050a64",16,"""AreFileApisANSI"""
"10050a76",29,"""GetFileInformationByHandleEx"""
"10050a96",21,"""EnterCriticalSection"""
"10050aae",21,"""LeaveCriticalSection"""
"10050ac6",28,"""InitializeCriticalSectionEx"""
"10050ae4",22,"""DeleteCriticalSection"""
"10050afc",24,"""GetSystemTimeAsFileTime"""
"10050b16",14,"""EncodePointer"""
"10050b26",14,"""DecodePointer"""
"10050b36",14,"""LCMapStringEx"""
"10050b46",10,"""GetCPInfo"""
"10050b52",25,"""UnhandledExceptionFilter"""
"10050b6e",28,"""SetUnhandledExceptionFilter"""
"10050b8c",18,"""IsDebuggerPresent"""
"10050ba0",16,"""GetStartupInfoW"""
"10050bb2",20,"""GetCurrentProcessId"""
"10050bc8",20,"""InitializeSListHead"""
"10050bde",10,"""RtlUnwind"""
"10050bea",22,"""InterlockedFlushSList"""
"10050c02",13,"""SetLastError"""
"10050c12",38,"""InitializeCriticalSectionAndSpinCount"""
"10050c3a",9,"""TlsAlloc"""
"10050c46",12,"""TlsGetValue"""
"10050c54",12,"""TlsSetValue"""
"10050c62",8,"""TlsFree"""
"10050c6c",12,"""FreeLibrary"""
"10050c7a",15,"""LoadLibraryExW"""
"10050c8c",13,"""CreateThread"""
"10050c9c",11,"""ExitThread"""
"10050caa",25,"""FreeLibraryAndExitThread"""
